ID	chr	start	end	strand
NM_001256521	chr2	25992328	25996026	-
NM_001256522	chr2	25992327	25995063	-
NM_001256885	chr14	5266667	5273317	+
NM_001256885_dup1	chr14	6451734	6458384	+
NM_001256885_dup2	chr14	6804351	6811001	+
NM_001256886	chr14	5468641	5491909	-
NM_001256886_dup1	chr14	5731120	5754402	+
NM_001256886_dup2	chr14	6653872	6677154	-
NM_001256973	chr7	111916563	111925984	-
NM_001258458	chr16	16819806	16820289	-
NM_001267583	chr17	32932621	32946876	-
NM_001267591	chr11	118267603	118277114	-
NM_001267592	chr11	118267603	118280432	-
NM_001267593	chr11	60836066	60886769	+
NM_001267620	chr1	75188734	75192113	+
NM_001267621	chr5	108145674	108154825	-
NM_001267622	chr5	111308822	111718799	+
NM_001267625	chr12	84314738	84828686	-
NM_001267626	chr12	84369998	84828686	-
NM_001267695	chr3	95330708	95360327	+
NM_001267702	chr4	42024168	42029569	+
NM_001267702_dup1	chr4	42349017	42354418	-
NM_001267702_dup2	chr4	42664136	42669537	+
NM_001267703	chr4	42027473	42029569	+
NM_001267703_dup1	chr4	42349017	42351113	-
NM_001267703_dup2	chr4	42667441	42669537	+
NM_001267704	chr4	42028815	42029569	+
NM_001267704_dup1	chr4	42349017	42349771	-
NM_001267704_dup2	chr4	42668783	42669537	+
NM_001267707	chr6	142182748	142227394	-
NM_001267710	chr7	127987114	128050733	+
NM_001267711	chr7	127994703	128050733	+
NM_001267714	chr3	5560188	5576248	-
NM_001267715	chr3	5560188	5576248	-
NM_001267717	chr18	33596673	33623288	-
NM_001267724	chr13	3633278	3651025	+
NM_001267796	chr18	36459755	36461132	+
NM_001267808	chr17	35400068	35403675	+
NM_001267846	chr2	63809565	63936095	-
NM_001267847	chr2	63809565	63936095	-
NM_001267872	chr1	63319843	63361149	+
NM_001268286	chr1	139959436	140071882	-
NM_001270360	chrUn_random	527839	528969	-
NM_001270360_dup1	chrUn_random	739163	740293	-
NM_001270360_dup2	chr4	42391950	42393080	-
NM_001270360_dup3	chr4	42625655	42626785	+
NM_001270423	chr2	90162379	90165283	+
NM_001270423_dup1	chr2	90061724	90064628	-
NM_001270426	chr3	92761312	92762496	+
NM_001270429	chr3	98302996	98314461	-
NM_001270429_dup1	chr3	98356466	98367932	-
NM_001270430	chr3	132293155	132307613	+
NM_001270431	chrUn_random	701125	702124	-
NM_001270432	chrUn_random	701125	702124	-
NM_001270435	chr4	118995498	119088126	-
NM_001270446	chr4	118995498	119032499	-
NM_001270456	chr5	95734942	95772594	+
NM_001270457	chrUn_random	1737773	1741852	+
NM_001270457_dup1	chr5	96161111	96165192	-
NM_001270475	chr6	120881564	121081040	-
NM_001270487	chr16	89041168	89041717	-
NM_001270489	chr7	20437352	20443704	+
NM_001270494	chr7	23498617	23685774	-
NM_001270494_dup1	chr7	21509531	21511986	-
NM_001270494_dup2	chr7	24057807	24060262	-
NM_001270495	chr14	26743483	26747142	-
NM_001270495_dup1	chr14	26883236	26886895	-
NM_001270495_dup2	chr14	27022852	27026511	-
NM_001270496	chr14	26743483	26746647	-
NM_001270496_dup1	chr14	26883236	26886400	-
NM_001270496_dup2	chr14	27022852	27026016	-
NM_001270498	chr14	26743484	26747158	-
NM_001270498_dup1	chr14	26883237	26886911	-
NM_001270498_dup2	chr14	27022853	27026527	-
NM_001270499	chr14	26743484	26746725	-
NM_001270499_dup1	chr14	26883237	26886478	-
NM_001270499_dup2	chr14	27022853	27026094	-
NM_001270503	chr14	26986804	27001837	-
NM_001270503_dup1	chr14	26707420	26722457	-
NM_001270503_dup2	chr14	26847190	26862223	-
NM_001270506	chr14	26762026	26775856	+
NM_001270506_dup1	chr14	26901779	26915613	+
NM_001270506_dup2	chr14	27041390	27055226	+
NM_001270510	chrY	2156899	2168120	+
NM_001270511	chrY	2156899	2168120	+
NM_001270512	chrY	2387258	2398856	+
NM_001270513	chrY	2188492	2398856	+
NM_001270513_dup1	chrY	2156899	2168120	+
NM_001270514	chrY	2188492	2398856	+
NM_001270514_dup1	chrY	2156899	2168120	+
NM_001270515	chrY	2188492	2398856	+
NM_001270515_dup1	chrY	2156899	2168120	+
NM_001270516	chrY	2188492	2398856	+
NM_001270516_dup1	chrY	2156899	2168120	+
NM_001270518	chrY	2156899	2168120	+
NM_001270537	chr15	100471513	100499931	-
NM_001270541	chr7	32144057	32147091	-
NM_001270542	chr7	32497684	32498999	+
NM_001270543	chr7	34158253	34159577	+
NM_001270553	chr8_random	689552	717784	-
NM_001270553_dup1	chr8	19933242	19958780	-
NM_001270555	chr8	22639502	22640484	+
NM_001270609	chr1	137947381	137947947	+
NM_001270613	chr8	22675858	22676816	+
NM_001270642	chr10	103605569	103608038	+
NM_001270642_dup1	chr10	103614079	103616547	+
NM_001270642_dup2	chr10	103622588	103625055	+
NM_001270642_dup3	chr10	103631097	103633576	+
NM_001270644	chr10	103605569	103608038	+
NM_001270644_dup1	chr10	103614079	103616547	+
NM_001270644_dup2	chr10	103622588	103625055	+
NM_001270644_dup3	chr10	103631097	103633576	+
NM_001270646	chr18	35810005	35814853	-
NM_001270667	chrX	3241681	3243584	-
NM_001270667_dup1	chrX	3461372	3463275	-
NM_001270667_dup2	chrX	3907056	3908959	+
NM_001270667_dup3	chrX	30291083	30292986	-
NM_001270667_dup4	chrX	30732679	30734582	+
NM_001270667_dup5	chrX	30977838	30979741	+
NM_001270667_dup6	chrX	32129797	32131700	-
NM_001270669	chrX	3241681	3243601	-
NM_001270669_dup1	chrX	3461372	3463292	-
NM_001270669_dup2	chrX	3907039	3908959	+
NM_001270669_dup3	chrX	30291083	30293003	-
NM_001270669_dup4	chrX	30732662	30734582	+
NM_001270669_dup5	chrX	30977821	30979741	+
NM_001270685	chrX	3546314	3547091	-
NM_001270685_dup1	chrX	30823250	30824027	+
NM_001270685_dup2	chrX	31428920	31429697	-
NM_001270700	chrX	8681688	8683468	+
NM_001270718	chr16	13981795	13986960	-
NM_001270722	chr12	89320165	89569046	+
NM_001270791	chr11	58974621	58977247	-
NM_001270792	chr12	89192924	89199126	+
NM_001270793	chr12	89192924	89199126	+
NM_001270806	chr14	3500849	3668655	+
NM_001270806_dup1	chr14	3740252	3906698	+
NM_001270806_dup2	chr14	3188284	3196683	+
NM_001270812	chr14	5468460	6240637	-
NM_001270812_dup1	chr14	6653691	7119724	-
NM_001270812_dup2	chr14	7915539	8007047	-
NM_001270812_dup3	chr14	3049308	3077025	+
NM_001270842	chr14	8377665	8401080	-
NM_001270898	chr10	103605569	103608009	+
NM_001270898_dup1	chr10	103614079	103616518	+
NM_001270898_dup2	chr10	103622588	103625026	+
NM_001270898_dup3	chr10	103631097	103633547	+
NM_001270899	chr10	103605569	103608009	+
NM_001270899_dup1	chr10	103614079	103616518	+
NM_001270899_dup2	chr10	103622588	103625026	+
NM_001270899_dup3	chr10	103631097	103633547	+
NM_001270900	chr10	103605569	103608009	+
NM_001270900_dup1	chr10	103614079	103616518	+
NM_001270900_dup2	chr10	103622588	103625026	+
NM_001270900_dup3	chr10	103631097	103633547	+
NM_001270901	chr10	103605569	103608009	+
NM_001270901_dup1	chr10	103614079	103616518	+
NM_001270901_dup2	chr10	103622588	103625026	+
NM_001270901_dup3	chr10	103631097	103633547	+
NM_001270988	chr12	3426857	3506849	+
NM_001270996	chr8	26060083	26127394	-
NM_001271001	chr2	130865368	130868824	-
NM_001271002	chr2	130865368	130868418	-
NM_001271005	chr17	36245975	36248621	-
NM_001271008	chrX	104987929	105068250	+
NM_001271016	chr1	16530869	16609419	-
NM_001271017	chr1	16558755	16609419	-
NM_001271018	chr11	95960230	95973276	-
NM_001271019	chr7	50606711	50614840	+
NM_001271020	chr7	111063576	111078425	+
NM_001271343	chr7	137535008	137663883	-
NM_001271347	chr11	32542555	32646814	+
NM_001271348	chr11	32542555	32646814	+
NM_001271349	chr11	32542555	32646814	+
NM_001271353	chr17	31749568	31774150	-
NM_001271356	chr11	59604910	59623541	-
NM_001271357	chr11	59604910	59623103	-
NM_001271358	chr11	70246082	70254330	+
NM_001271359	chr11	70246082	70254330	+
NM_001271360	chr11	70246082	70254330	+
NM_001271370	chr7	28965335	28972317	+
NM_001271372	chr11	106612540	106629079	+
NM_001271373	chr11	106612540	106629079	+
NM_001271374	chr11	106612540	106629079	+
NM_001271375	chr11	106612540	106630108	+
NM_001271378	chr13	27524550	27530557	-
NM_001271379	chr13	27524550	27530557	-
NM_001271386	chr12	34732447	35601767	-
NM_001271388	chr13	99033031	99043873	+
NM_001271389	chr13	99033031	99044709	+
NM_001271390	chr13	99033031	99043873	+
NM_001271391	chr13	99033031	99043873	+
NM_001271392	chr13	99033031	99043873	+
NM_001271395	chr6	72499641	72512977	+
NM_001271397	chr13	49748447	49774385	+
NM_001271402	chr14	66703209	66743359	-
NM_001271403	chr14	66703209	66731223	-
NM_001271405	chr4	138750026	138847735	+
NM_001271407	chr14	70580275	70605829	-
NM_001271408	chr14	70580275	70604430	-
NM_001271409	chr14	70580275	70592053	-
NM_001271411	chr15	82827166	82863827	-
NM_001271412	chr15	82827166	82863827	-
NM_001271413	chr15	82827166	82860380	-
NM_001271414	chr15	82827166	82853568	-
NM_001271415	chr6	72494531	72512977	+
NM_001271416	chr15	74825307	74828461	-
NM_001271417	chr15	74825307	74828461	-
NM_001271418	chr15	74825307	74828461	-
NM_001271419	chr15	74825307	74828461	-
NM_001271421	chr14	66703209	66729497	-
NM_001271422	chr17	34734795	34737882	+
NM_001271423	chr17	34734795	34737882	+
NM_001271424	chr17	34734795	34737882	+
NM_001271430	chr2	93259259	93302659	-
NM_001271431	chr2	93259259	93303107	-
NM_001271432	chr2	93259259	93302659	-
NM_001271433	chr17	25919732	25922531	-
NM_001271434	chr17	25919732	25922531	-
NM_001271435	chr17	25916788	25922531	-
NM_001271436	chr17	25919732	25922531	-
NM_001271437	chr17	25919732	25922531	-
NM_001271443	chr19	3908863	3912774	-
NM_001271444	chr19	3908863	3912774	-
NM_001271446	chr15	74825307	74828461	-
NM_001271447	chrX	46362884	46641419	-
NM_001271448	chrX	46362884	46641419	-
NM_001271449	chrX	46362884	46641419	-
NM_001271450	chrX	46362884	46641419	-
NM_001271451	chrX	46362884	46641419	-
NM_001271455	chr11	54724289	54776442	-
NM_001271456	chr11	54724289	54776442	-
NM_001271461	chr2	93259259	93302008	-
NM_001271462	chr2	93259259	93292829	-
NM_001271463	chr13	97907892	97946398	+
NM_001271464	chr13	97907892	97946398	+
NM_001271465	chr13	97907892	97946398	+
NM_001271467	chr2	126454643	126501328	-
NM_001271468	chr2	126454643	126501328	-
NM_001271469	chr2	126454643	126501328	-
NM_001271470	chr2	126464755	126502073	-
NM_001271472	chr15	83433013	83555469	-
NM_001271473	chr15	83433013	83555469	-
NM_001271476	chr17	32549406	32561112	-
NM_001271477	chr17	32549406	32557920	-
NM_001271478	chr17	32549406	32561112	-
NM_001271479	chr17	32549406	32557920	-
NM_001271483	chr17	72130639	72213550	+
NM_001271484	chr17	72119031	72199504	+
NM_001271486	chr19	7500385	7557781	-
NM_001271487	chr19	7500385	7557781	-
NM_001271489	chrX	7339787	7352328	+
NM_001271490	chrX	7339787	7352328	+
NM_001271491	chrX	7341167	7352328	+
NM_001271492	chr2	126473484	126501328	-
NM_001271496	chr19	3851773	3894369	+
NM_001271497	chr2	11626920	11655612	+
NM_001271498	chr2	11626920	11655612	+
NM_001271499	chr2	11627339	11655612	+
NM_001271500	chr2	11627339	11655612	+
NM_001271501	chr2	11627339	11655612	+
NM_001271503	chr18	3266352	3327589	-
NM_001271504	chr18	3266352	3327589	-
NM_001271505	chr18	3266352	3327589	-
NM_001271506	chr18	3266352	3327589	-
NM_001271508	chr7	149657748	149680773	+
NM_001271509	chr7	149646717	149680773	+
NM_001271510	chr7	149646717	149680773	+
NM_001271511	chr17	27888177	27957487	-
NM_001271523	chr7	149662918	149680773	+
NM_001271526	chr1	58519615	58561953	-
NM_001271531	chr1	123200930	123224255	-
NM_001271532	chr1	123200930	123224601	-
NM_001271533	chr1	69873544	69972824	+
NM_001271538	chr7	51861173	51920873	-
NM_001271540	chr7	51861173	51926213	-
NM_001271542	chr8	41577892	41601201	-
NM_001271543	chr8	41577892	41597108	-
NM_001271544	chr18	36687806	36704262	+
NM_001271545	chr18	36687806	36704262	+
NM_001271546	chr18	36687806	36704262	+
NM_001271547	chr18	36687806	36715926	+
NM_001271548	chrX	57801183	57802391	+
NM_001271549	chr10	77492767	77506355	-
NM_001271550	chr10	77492767	77506355	-
NM_001271551	chr10	77492767	77506355	-
NM_001271552	chr10	77492767	77506355	-
NM_001271553	chr10	77492767	77506355	-
NM_001271554	chr10	77492767	77506355	-
NM_001271555	chr10	77492767	77506355	-
NM_001271556	chr10	77492767	77506355	-
NM_001271557	chr10	77492767	77506355	-
NM_001271558	chr10	77492767	77506355	-
NM_001271559	chr10	77492767	77506355	-
NM_001271563	chr2	19120745	19231870	+
NM_001271564	chr2	19120745	19231870	+
NM_001271565	chr2	19120745	19231870	+
NM_001271566	chr5	107393580	107413458	+
NM_001271567	chr5	107393341	107413458	+
NM_001271568	chr5	107393341	107413458	+
NM_001271569	chr9	95755837	95758301	-
NM_001271574	chr8	69035639	69043098	+
NM_001271575	chr2	164295804	164299224	-
NM_001271578	chr7	52933057	52949772	-
NM_001271579	chr6	122267749	122290245	-
NM_001271580	chr18	21810066	21814608	+
NM_001271582	chr6	133055257	133060917	+
NM_001271583	chr6	133055257	133060917	+
NM_001271584	chr2	181255190	181287585	+
NM_001271585	chr2	181255190	181287585	+
NM_001271586	chr16	4964381	4978147	+
NM_001271587	chr6	137425766	137519530	-
NM_001271588	chr6	137425766	137597806	-
NM_001271589	chr6	137425766	137468416	-
NM_001271590	chr5	115552931	115560277	-
NM_001271591	chr5	115552931	115557971	-
NM_001271595	chr6	137425766	137519530	-
NM_001271599	chr3	108086982	108164437	+
NM_001271600	chr15	89186150	89203281	+
NM_001271601	chr15	89186150	89203281	+
NM_001271603	chr16	10783902	10785629	-
NM_001271607	chr1	92100555	92112297	+
NM_001271614	chr19	10273622	10278433	-
NM_001271615	chr19	10273622	10278433	-
NM_001271616	chr5	44370097	44373038	-
NM_001271623	chr14	57653297	57676560	-
NM_001271627	chr17	44740938	44951576	-
NM_001271628	chr3	96836325	96857557	+
NM_001271630	chr17	44740938	44873125	-
NM_001271631	chr17	44740938	44873125	-
NM_001271663	chr14	57742138	57752448	-
NM_001271676	chr11	48900519	48910489	+
NM_001271677	chr11	48890089	48910489	+
NM_001271678	chrX	147632621	147754735	+
NM_001271679	chrX	147632621	147754735	+
NM_001271687	chr16	95479165	95521865	+
NM_001271689	chr16	95479165	95521865	+
NM_001271690	chr16	95479165	95521865	+
NM_001271691	chr16	95479165	95521865	+
NM_001271692	chr16	95479165	95521865	+
NM_001271693	chr16	95479165	95521865	+
NM_001271694	chr16	95479165	95521865	+
NM_001271695	chr16	95479165	95521865	+
NM_001271704	chr15	34767804	34773162	+
NM_001271705	chr12	86507589	86516932	-
NM_001271708	chr12	42178255	42212644	-
NM_001271709	chr12	42178255	42212644	-
NM_001271716	chr18	68566553	68588974	-
NM_001271717	chr18	68566553	68587494	-
NM_001271724	chr2	26768898	26772050	-
NM_001271725	chr3	83964361	84074705	-
NM_001271726	chr3	83964361	84108697	-
NM_001271727	chr3	83964361	84063701	-
NM_001271728	chr3	83964361	84016760	-
NM_001271729	chr11	117676833	117687328	-
NM_001271730	chr11	5420644	5425996	+
NM_001271744	chr2	153475185	153513466	+
NM_001271745	chr2	153475185	153513466	+
NM_001271746	chr2	153475185	153513466	+
NM_001271747	chr2	153475185	153513466	+
NM_001271753	chr12	3807160	3914443	+
NM_001271757	chr6	119382549	119399404	-
NM_001271758	chr6	119382549	119417229	-
NM_001271759	chr14	67254088	67352299	+
NM_001271760	chr14	67254088	67352299	+
NM_001271761	chr14	67254088	67390005	+
NM_001271764	chr3	89883443	89904824	+
NM_001271766	chr1	94871924	94882968	+
NM_001271768	chr6	145806763	145813940	-
NM_001271772	chr3	30993980	31021845	+
NM_001271777	chr2	25354170	25357239	-
NM_001271797	chr5	92377868	92392094	-
NM_001271798	chr14	93412919	94289888	-
NM_001271799	chr14	93412919	94289888	-
NM_001271800	chr14	93412919	94288107	-
NM_001271806	chr8	108090595	108103745	-
NM_001271809	chrX	117403936	118024227	+
NM_001271810	chrX	117403936	118024227	+
NM_001271843	chr9	70958466	71010440	-
NM_001271857	chr6	85978675	86074403	+
NM_001271858	chr6	85978675	86074403	+
NM_001271859	chr6	86028042	86074403	+
NM_001271860	chr6	85978675	86059461	+
NM_001271861	chr6	86028042	86059461	+
NM_001271873	chr9	122084992	122203541	-
NM_001271879	chr7	58766399	58854077	+
NM_001271883	chr17	18186448	18211184	+
NM_001271884	chr1	95270473	95300881	+
NM_001271898	chr11	116033197	116060359	-
NM_001271915	chr8	107776538	107779053	-
NM_001271916	chr14	56137815	56143818	-
NM_001271917	chr14	56137815	56143818	-
NM_001271962	chr2	165455845	165597227	+
NM_001271963	chr2	165420528	165597227	+
NM_001271981	chr7	52872976	52876429	+
NM_001271993	chr7	52903961	52921764	-
NM_001272023	chr7	129008552	129062242	+
NM_001272024	chr3	94964342	94977972	+
NM_001272028	chr16	18380876	18407167	+
NM_001272029	chr16	18348275	18407167	+
NM_001272030	chr16	18380876	18407167	+
NM_001272031	chr16	18392656	18407167	+
NM_001272032	chr16	18392656	18407167	+
NM_001272033	chrX	12513999	12515667	+
NM_001272035	chr3	63746246	63768655	-
NM_001272040	chr2	35231082	35252694	-
NM_001272041	chr8	126415658	126418675	-
NM_001272045	chr8	107524753	107544310	+
NM_001272052	chr2	163552307	163575975	-
NM_001272055	chr12	85134984	85183308	-
NM_001272056	chr12	85134984	85217762	-
NM_001272057	chr8	25843456	25934841	-
NM_001272058	chr8	25837565	25934841	-
NM_001272059	chr8	25837565	25934841	-
NM_001272064	chr6	37820811	37918445	+
NM_001272070	chr16	45729838	45743068	-
NM_001272076	chr6	37850487	37918445	+
NM_001272078	chr17	48485726	48491601	+
NM_001272090	chr10	61158262	61165521	+
NM_001272091	chr10	61158262	61165521	+
NM_001272092	chr10	61158262	61165521	+
NM_001272097	chr3	10012585	10016610	+
NM_001272098	chr3	10012585	10016610	+
NM_001276248	chr3	19857054	19907609	+
NM_001276250	chr3	19857054	19909750	+
NM_001276257	chr2	25513472	25517165	+
NM_001276263	chr16	78301916	78330213	+
NM_001276269	chr7	31883744	31896016	-
NM_001276278	chr16	89063655	89064247	-
NM_001276279	chr8	91220927	91275845	+
NM_001276284	chr19	4113756	4121575	-
NM_001276285	chr11	70470678	70476015	+
NM_001276287	chr5	141181020	141195332	+
NM_001276288	chr10	81022189	81029116	+
NM_001276292	chr4	19535446	19636151	-
NM_001276296	chr14	104213832	104242918	-
NM_001276298	chrX	71137441	71139767	+
NM_001276299	chrX	71137441	71139767	+
NM_001276301	chr7	117911720	117955922	+
NM_001276315	chr5	92435100	92471722	-
NM_001276316	chrX	20235428	20260305	+
NM_001276317	chrX	20235630	20260305	+
NM_001276321	chr15	76477357	76487331	-
NM_001276322	chr15	76488566	76490638	-
NM_001276328	chr19	11690011	11698209	-
NM_001276329	chr19	11690011	11698209	-
NM_001276330	chr19	11690011	11698209	-
NM_001276332	chr2	33261628	33286844	-
NM_001276333	chr15	76488566	76490166	-
NM_001276334	chr15	76488566	76490166	-
NM_001276335	chr15	76488566	76490166	-
NM_001276340	chr16	16312321	16359124	-
NM_001276341	chr16	16312321	16358668	-
NM_001276350	chr18	6488890	6490855	-
NM_001276355	chr4	49674483	49858641	-
NM_001276356	chr6	108015039	108027121	+
NM_001276358	chr19	45866836	45886781	-
NM_001276359	chr2	25782358	25838802	-
NM_001276360	chr2	25782358	25838802	-
NM_001276361	chr2	25782358	25838802	-
NM_001276371	chr4	63121197	63157025	-
NM_001276372	chr7	53915707	53922747	-
NM_001276383	chr11	72265140	72288529	-
NM_001276387	chr14	67852129	68049789	+
NM_001276390	chr17	47952277	47970240	-
NM_001276391	chr17	47952277	47970240	-
NM_001276396	chrX	112018621	112019550	+
NM_001276397	chr5	108259181	108260796	+
NM_001276398	chr19	11395529	11409185	-
NM_001276399	chr13	49516983	49558429	+
NM_001276400	chr2	151471140	151494269	-
NM_001276402	chr3	130813215	130927275	+
NM_001276403	chr3	130815709	130927275	+
NM_001276406	chr11	70756560	70783475	-
NM_001276408	chr1	71632047	71699808	-
NM_001276409	chr1	71632047	71699808	-
NM_001276410	chr1	71632047	71699808	-
NM_001276411	chr1	71632047	71699808	-
NM_001276412	chr1	71632047	71699808	-
NM_001276413	chr1	71632047	71699808	-
NM_001276419	chr16	28157869	28565037	-
NM_001276420	chr16	28397031	28446161	-
NM_001276422	chr2	172219294	172259257	+
NM_001276423	chr2	172219294	172259257	+
NM_001276425	chr2	32442598	32455216	+
NM_001276431	chr2	164421958	164439126	-
NM_001276432	chr2	164421958	164438886	-
NM_001276442	chr9	106335312	106340567	-
NM_001276443	chr2	73179563	73224537	-
NM_001276444	chr2	73179563	73224537	-
NM_001276445	chr5	65315919	65324797	-
NM_001276446	chr4	62167018	62180943	-
NM_001276448	chr2	25532306	25537127	+
NM_001276449	chr16	22892088	22899524	+
NM_001276450	chr16	22892088	22899524	+
NM_001276452	chr9	78384294	78435852	-
NM_001276455	chr1	166179177	166195516	+
NM_001276461	chr15	63918402	64214481	-
NM_001276462	chr15	63918402	64144235	-
NM_001276463	chr15	63918402	64144235	-
NM_001276465	chr4	144562525	144784908	-
NM_001276466	chrX	99442717	99447520	-
NM_001276467	chr15	63918402	64214481	-
NM_001276473	chrX	99442717	99446115	-
NM_001276474	chrX	99442717	99446115	-
NM_001276475	chr7	34796938	34798961	-
NM_001276481	chr9	108107192	108166146	-
NM_001276482	chr9	108107192	108166146	-
NM_001276485	chr9	108107192	108166289	-
NM_001276486	chr9	108107192	108166289	-
NM_001276489	chr2	139503914	139584317	+
NM_001276492	chr9	108107192	108166146	-
NM_001276493	chr9	108107192	108166146	-
NM_001276502	chr4	144562525	144780569	-
NM_001276676	chr3	103379205	103439102	+
NM_001276677	chr3	103379205	103434892	+
NM_001276679	chr3	103379205	103434892	+
NM_001276680	chr3	103380049	103449490	+
NM_001276681	chr3	103380049	103439102	+
NM_001276684	chr15	74499511	74503000	-
NM_001276704	chr19	8831607	8845400	+
NM_001276710	chr1	95031817	95041998	+
NM_001276719	chr9	121807473	121820189	+
NM_001276763	chr7	149135656	149190148	+
NM_001276764	chr1	33965070	34365507	+
NM_001276767	chr1	135516448	135557976	-
NM_001277076	chr1	36429136	36478955	+
NM_001277079	chr11	67410057	67502494	+
NM_001277080	chr11	67410057	67502494	+
NM_001277095	chr4	120430040	120498346	-
NM_001277096	chr2	163484122	163551894	+
NM_001277100	chr19	53217246	53321816	+
NM_001277101	chr1	10014681	10028240	-
NM_001277106	chr11	79859995	79894493	-
NM_001277113	chr4	151698545	151708191	+
NM_001277114	chr4	151699835	151708191	+
NM_001277116	chr5	53981585	54048684	+
NM_001277121	chr4	135866857	135901894	+
NM_001277122	chr4	135866857	135901894	+
NM_001277123	chr4	135866857	135901894	+
NM_001277132	chr10	75400468	75403417	-
NM_001277149	chr4	8617553	8795596	+
NM_001277167	chr4	42860944	42866760	-
NM_001277170	chr3	82640445	82680405	-
NM_001277179	chr7	113739063	113788159	-
NM_001277180	chr7	113739063	113788159	-
NM_001277181	chr7	113739063	113788159	-
NM_001277182	chr7	113739063	113788159	-
NM_001277183	chr7	113739063	113788159	-
NM_001277184	chrX	8620677	8621536	+
NM_001277184_dup1	chrX	8552844	8553715	-
NM_001277186	chr2	156439433	156590099	+
NM_001277187	chr2	156439433	156590099	+
NM_001277188	chr10	88411739	88720535	-
NM_001277195	chr4	140668893	140695711	-
NM_001277202	chr6	128964130	128970545	+
NM_001277216	chr3	141500100	141832192	-
NM_001277217	chr3	141500100	141832192	-
NM_001277218	chr3	141500100	141594552	-
NM_001277219	chr11	75492761	75521930	+
NM_001277220	chr3	141500100	141594552	-
NM_001277221	chr11	75492761	75521930	+
NM_001277229	chr10	41170164	41185388	+
NM_001277230	chr10	41170164	41173274	+
NM_001277231	chr16	17452078	17487533	+
NM_001277238	chr6	52173096	52177369	-
NM_001277239	chr8	24780133	25173588	+
NM_001277245	chr15	89398757	89405016	+
NM_001277246	chr15	89398757	89405016	+
NM_001277247	chr15	89398757	89405016	+
NM_001277255	chr15	100958953	100975767	+
NM_001277256	chr2	116946807	116998589	+
NM_001277257	chr15	100958953	100975767	+
NM_001277258	chr15	100958953	100975767	+
NM_001277259	chr15	100958953	100975767	+
NM_001277265	chr10	80791448	80797919	+
NM_001277266	chr12	21329370	21379493	-
NM_001277268	chr5	98683203	98706052	+
NM_001277273	chr11	26287084	26371883	+
NM_001277280	chr8	24085308	24260969	+
NM_001277281	chr8	24145571	24260969	+
NM_001277284	chr8	24145571	24260969	+
NM_001277286	chr8	24168731	24260969	+
NM_001277289	chr8	24168731	24260969	+
NM_001277290	chr11	78171079	78200110	-
NM_001277292	chr10	118891090	119514217	+
NM_001277293	chr10	118891090	119524316	+
NM_001277294	chr10	119256445	119514217	+
NM_001277295	chr10	119429978	119514217	+
NM_001277296	chr12	89598958	89700170	+
NM_001277297	chr12	89598958	89700170	+
NM_001277309	chr17	46817935	46820075	+
NM_001277310	chr17	46817402	46820075	+
NM_001277311	chr17	46817732	46820075	+
NM_001277312	chr17	46818129	46820075	+
NM_001277315	chr15	25870457	25903451	+
NM_001277316	chr15	25870581	25903451	+
NM_001277317	chr15	25872434	25903451	+
NM_001277318	chr15	25863307	25903451	+
NM_001277321	chr9	21172315	21209807	+
NM_001277322	chr9	21172976	21209807	+
NM_001277326	chr7	122614386	122989654	-
NM_001277327	chr7	122614386	122968224	-
NM_001277328	chr7	122614386	122945123	-
NM_001277330	chr6	124346834	124364881	-
NM_001277340	chr12	56666192	56667883	+
NM_001277487	chr4	73296798	73303179	+
NM_001277487_dup1	chr4	73311922	73318302	+
NM_001277487_dup2	chr4	73327082	73333464	+
NM_001277487_dup3	chr4	73281699	73288077	+
NM_001277512	chr4	73266578	73272959	+
NM_001277531	chr4	73281699	73288077	+
NM_001277531_dup1	chr4	73296798	73303179	+
NM_001277531_dup2	chr4	73311922	73318302	+
NM_001277575	chr4	73296798	73303179	+
NM_001277575_dup1	chr4	73281699	73288077	+
NM_001277575_dup2	chr4	73311922	73318302	+
NM_001277730	chr1	158185426	158233737	-
NM_001277756	chr6	17231185	17232684	+
NM_001277805	chr6	124346834	124365085	-
NM_001277847	chr9	44481316	44494388	+
NM_001277851	chr9	44481316	44494388	+
NM_001277860	chr19	10624951	10630253	-
NM_001277861	chr19	10624951	10630253	-
NM_001277863	chr17	50418718	50432945	-
NM_001277867	chr5	124700968	124777981	-
NM_001277875	chr4	43526598	43536426	-
NM_001277876	chr4	43526598	43536426	-
NM_001277891	chr5	135813235	135825914	-
NM_001277892	chr5	135813235	135825745	-
NM_001277893	chr5	135767574	135825914	-
NM_001277898	chr8	86500782	86520341	+
NM_001277903	chr7	4456172	4467577	-
NM_001277904	chr7	4456172	4467577	-
NM_001277919	chr4	4454921	4456605	-
NM_001277925	chr1	89044230	89052711	-
NM_001277926	chr1	58859346	58904347	+
NM_001277928	chr1	195128437	195170072	+
NM_001277932	chr4	141349527	141371893	+
NM_001277938	chr11	82686565	82704126	-
NM_001277939	chr11	82685464	82704126	-
NM_001277941	chr11	82686565	82704126	-
NM_001277942	chr11	82686565	82704126	-
NM_001277944	chr7	20256928	20263290	-
NM_001277954	chr7	89408418	89455930	+
NM_001277955	chr7	89408418	89455930	+
NM_001277957	chr1_random	362233	383551	+
NM_001277958	chr1_random	362333	383551	+
NM_001277959	chr1_random	362333	383551	+
NM_001277968	chr1	173518744	173537541	-
